node1,node2,123risksum
[-73.86934185  40.74731725],[-73.86867853  40.74619447],1.0
[-73.95361543  40.6613878 ],[-73.95072413  40.66156906],2.0
[-73.98474231  40.73951036],[-73.98523225  40.73884023],0.0
[-73.99816758  40.75417323],[-73.997602    40.75392897],0.0
[-73.97076335  40.78842075],[-73.96792696  40.78722157],0.0
[-73.91191812  40.84325789],[-73.91158073  40.84425252],1.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],2.0
[-73.85590881  40.68470167],[-73.85649033  40.68588155],3.0
[-73.90898885  40.70503175],[-73.90991485  40.70412607],0.0
[-73.88786894  40.67046133],[-73.88696708  40.67059492],0.0
[-73.94561755  40.63177743],[-73.94586774  40.63411755],3.0
[-73.9417714  40.807089 ],[-73.94226311  40.80641574],1.0
[-73.99778509  40.72423489],[-73.99881172  40.72302141],6.0
[-73.98627232  40.69219479],[-73.98633135  40.69105051],3.0
[-74.07802261  40.59425482],[-74.07683591  40.59236716],6.0
[-74.07802261  40.59425482],[-74.07683591  40.59236716],6.0
[-74.07802261  40.59425482],[-74.07683591  40.59236716],6.0
[-74.10648409  40.57381969],[-74.10588738  40.57440151],3.0
[-73.93864883  40.79155775],[-73.94103497  40.79254667],3.0
[-73.99498358  40.76030016],[-73.99213712  40.75910472],3.0
[-73.92765995  40.64455307],[-73.9274157   40.64225331],1.0
[-73.96017647  40.6682833 ],[-73.96199658  40.66866287],0.0
[-73.84514804  40.67866963],[-73.84420932  40.67676183],0.0
[-73.92172613  40.86849674],[-73.92362922  40.86781531],0.0
[-73.98702181  40.69768182],[-73.98599529  40.69764925],0.0
[-73.88141549  40.84284639],[-73.88012703  40.84218158],0.0
[-73.94010756  40.6344744 ],[-73.93985458  40.63213498],0.0
[-73.99684296  40.72534784],[-73.99778509  40.72423489],6.0
[-73.94310026  40.79924985],[-73.94161923  40.79862364],2.0
[-73.85065123  40.88219179],[-73.8532429   40.88302036],2.0
[-73.76302443  40.70969053],[-73.76212981  40.70990628],3.0
[-73.88362829  40.85390908],[-73.88471538  40.85175878],1.0
[-73.93741853  40.80437468],[-73.93581613  40.8036999 ],2.0
[-74.01123101  40.71036686],[-74.00998739  40.70980567],2.0
[-73.98344537  40.74709837],[-73.98295691  40.74776435],3.0
[-73.92548635  40.8417708 ],[-73.92484861  40.84149544],3.0
[-73.98017128  40.6051788 ],[-73.98029547  40.60582243],3.0
[-73.78815732  40.70126752],[-73.78859679  40.7021028 ],1.0
[-73.87191498  40.67540265],[-73.87159867  40.67413368],2.0
[-73.92978731  40.70071816],[-73.92903522  40.70028981],2.0
[-73.98976487  40.73917709],[-73.98995646  40.73847714],3.0
[-73.88892112  40.84628242],[-73.88783646  40.84574241],2.0
[-73.99163271  40.7547068 ],[-73.992079    40.75409112],3.0
[-73.90907452  40.81323307],[-73.90940372  40.81231436],4.0
[-73.90907452  40.81323307],[-73.90940372  40.81231436],4.0
[-73.90593646  40.82553125],[-73.90624127  40.82482068],3.0
[-73.85172228  40.84026674],[-73.85107438  40.83981119],2.0
[-73.88601725  40.84787759],[-73.88669647  40.84708162],2.0
[-73.79705142  40.76276569],[-73.79723838  40.76141197],3.0
[-73.74773265  40.71415813],[-73.74670972  40.7116856 ],3.0
[-74.17026394  40.63592929],[-74.16861395  40.63589455],2.0
[-73.91014207  40.84021016],[-73.91151477  40.84060287],2.0
[-74.13694365  40.63858085],[-74.13554058  40.63834357],3.0
[-73.95722195  40.6892003 ],[-73.9600052   40.68888103],1.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],3.0
[-73.99075397  40.73483915],[-73.99171499  40.7352153 ],2.0
[-73.90359588  40.67206003],[-73.90391354  40.67330084],2.0
[-73.76618487  40.67948323],[-73.76566833  40.67823959],2.0
[-74.00700418  40.72047587],[-74.00669456  40.72043721],3.0
[-73.7738174   40.67824176],[-73.77360136  40.67838135],1.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.98531939  40.72048963],[-73.98615766  40.72074493],3.0
[-73.84102848  40.66420969],[-73.84122116  40.66417854],2.0
[-73.98326434  40.68151918],[-73.98290467  40.68207426],2.0
[-73.94920679  40.69537763],[-73.94935579  40.69612159],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.95536652  40.79946643],[-73.95786499  40.80051527],1.0
[-73.84145866  40.88713886],[-73.8419615   40.88845597],3.0
[-74.15999657  40.61070403],[-74.16040113  40.60980683],3.0
[-73.88107821  40.67146797],[-73.88193925  40.6713407 ],2.0
[-74.00081843  40.71692971],[-74.00168306  40.71574412],3.0
[-73.91886347  40.65630525],[-73.91814781  40.65676566],2.0
[-73.88124423  40.88270963],[-73.88346345  40.88078293],3.0
[-74.00682352  40.64846488],[-74.00462168  40.64713101],2.0
[-73.90841098  40.85131909],[-73.90759623  40.85221649],2.0
[-73.93722752  40.80176902],[-73.93882902  40.80244429],6.0
[-73.93322594  40.67596828],[-73.93045709  40.67581874],3.0
[-73.94327251  40.7934881 ],[-73.94281007  40.79413145],2.0
[-73.93741853  40.80437468],[-73.93791384  40.80369922],6.0
[-73.93741853  40.80437468],[-73.93791384  40.80369922],6.0
[-73.96428714  40.79730694],[-73.96466409  40.79678676],2.0
[-74.00171809  40.60800298],[-74.00195012  40.60781768],2.0
[-73.94433146  40.70358804],[-73.94421657  40.70289472],2.0
[-73.90947504  40.6685606 ],[-73.90855622  40.66869494],2.0
[-73.8808506   40.87994884],[-73.8799336   40.87977245],2.0
[-73.90644856  40.85347421],[-73.90560178  40.85314974],2.0
[-73.92837231  40.84134935],[-73.92917489  40.83988237],1.0
[-73.88288269  40.84907405],[-73.88447847  40.85004463],1.0
[-73.97631905  40.57924559],[-73.97663122  40.57591926],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.91529807  40.76623109],[-73.91449902  40.7658564 ],2.0
[-73.91946745  40.81507371],[-73.91874261  40.81476716],3.0
[-73.95790431  40.70842717],[-73.95925196  40.70890387],3.0
[-73.88099975  40.70193025],[-73.88201249  40.70440412],2.0
[-73.92764385  40.70409174],[-73.9260893  40.7056797],3.0
[-73.75183722  40.60528491],[-73.75258892  40.60455937],3.0
[-74.10648409  40.57381969],[-74.10588738  40.57440151],3.0
[-73.99143527  40.72986279],[-73.99284076  40.73007895],2.0
[-73.92658507  40.67638754],[-73.92711015  40.67641665],1.0
[-73.84991857  40.81884013],[-73.85109235  40.81861664],2.0
[-73.81614557  40.72527118],[-73.81580687  40.72460619],3.0
[-73.94043372  40.71840406],[-73.94033001  40.71778677],1.0
[-73.94794705  40.81457979],[-73.94517824  40.81341896],2.0
[-73.98281763  40.76336493],[-73.98189428  40.76296845],2.0
[-73.93828508  40.79630148],[-73.93918825  40.7950719 ],3.0
[-73.91922469  40.80755838],[-73.9174799  40.8068221],2.0
[-73.82481178  40.73963096],[-73.82517571  40.73510594],1.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.87966197  40.75023651],[-73.88003396  40.75228468],1.0
[-73.73857625  40.73038451],[-73.74137233  40.7314733 ],1.0
[-73.89884263  40.8317509 ],[-73.89669216  40.83196614],2.0
[-73.93751769  40.65491646],[-73.93735643  40.65338624],1.0
[-73.866385    40.83758666],[-73.86547251  40.83767625],2.0
[-73.88563996  40.65038337],[-73.88767544  40.6491941 ],2.0
[-73.87322226  40.6869396 ],[-73.8740413   40.68673306],1.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],2.0
[-73.9776027  40.7381718],[-73.9799674   40.73916829],2.0
[-73.88510718  40.83647523],[-73.88596418  40.83676946],2.0
[-73.95872568  40.81001021],[-73.96145644  40.8111585 ],2.0
[-73.89244714  40.67371527],[-73.89335128  40.67358165],3.0
[-73.86627573  40.67201061],[-73.86590885  40.67046733],3.0
[-73.94266182  40.69162434],[-73.94549553  40.69130013],3.0
[-74.1086959   40.59830715],[-74.11029703  40.59778914],2.0
[-73.88808081  40.83150162],[-73.88722921  40.8312016 ],2.0
[-74.06881624  40.59560908],[-74.06964533  40.59526401],2.0
[-73.94376581  40.6049609 ],[-73.94420482  40.60728448],2.0
[-74.00003635  40.59829131],[-73.99937596  40.59781083],3.0
[-73.90373985  40.84732761],[-73.90462132  40.84739207],2.0
[-74.01557896  40.64645502],[-74.01379559  40.64538141],2.0
[-73.9914005   40.77031339],[-73.98855899  40.76911582],1.0
[-73.87278549  40.83589853],[-73.87307208  40.83583456],3.0
[-73.98820701  40.69180696],[-73.98734787  40.69145767],3.0
[-73.93757542  40.82676277],[-73.93845827  40.82633418],0.0
[-73.92464808  40.81072814],[-73.92514234  40.81005321],0.0
[-73.95394173  40.63849472],[-73.95483131  40.6380406 ],0.0
[-73.80810118  40.67629718],[-73.80904499  40.6760272 ],0.0
[-73.89231384  40.82446122],[-73.89294687  40.82413931],0.0
[-73.90901259  40.75427981],[-73.91176437  40.75557259],0.0
[-73.99030826  40.72335871],[-73.9909143  40.7221812],0.0
[-73.9436193   40.81527268],[-73.94378369  40.8153419 ],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.89055869  40.67006023],[-73.89016522  40.66852438],0.0
[-73.90189202  40.66837967],[-73.9026264   40.66827343],0.0
[-73.92914208  40.78756362],[-73.9275979   40.78962078],0.0
[-73.8065861   40.69694129],[-73.80731972  40.698096  ],0.0
[-73.91970368  40.63295444],[-73.91954261  40.631471  ],0.0
[-73.94620247  40.82715392],[-73.94666104  40.82652971],0.0
[-73.93814395  40.67544142],[-73.9388415   40.67549215],0.0
[-73.93814395  40.67544142],[-73.9388415   40.67549215],0.0
[-73.89023462  40.82100692],[-73.89161499  40.82098524],0.0
[-74.01096714  40.716303  ],[-74.00923907  40.71552017],0.0
[-73.90503038  40.83273812],[-73.90461755  40.83333977],0.0
[-73.97537395  40.7372336 ],[-73.9776027  40.7381718],0.0
[-73.87621306  40.82408475],[-73.87672521  40.82627813],0.0
[-73.93286121  40.85050658],[-73.93409858  40.85102129],0.0
[-73.93104638  40.67752029],[-73.93307383  40.6776366 ],0.0
[-73.76071029  40.59988597],[-73.75971532  40.59961864],0.0
[-73.91979922  40.75934944],[-73.92059649  40.7597249 ],0.0
[-74.0101998   40.70769828],[-74.01124835  40.7083047 ],0.0
[-73.93967648  40.66657825],[-73.93690681  40.66642659],0.0
[-73.94540053  40.62937781],[-73.94494973  40.62698689],0.0
[-73.8279797   40.75763012],[-73.82709026  40.7571434 ],0.0
[-74.01040127  40.71880203],[-74.01229166  40.71903895],0.0
[-73.89274013  40.72143201],[-73.89321291  40.72203008],0.0
[-73.82651837  40.83100127],[-73.82737292  40.83058234],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-74.00860085  40.71139224],[-74.00809982  40.7119944 ],0.0
[-73.73445692  40.66904424],[-73.73359954  40.66876149],0.0
[-73.96428714  40.79730694],[-73.96466409  40.79678676],0.0
[-73.97734585  40.72188578],[-73.97972661  40.7228906 ],0.0
[-73.99535418  40.7546876 ],[-73.99252856  40.75347391],0.0
[-73.8880937   40.82050475],[-73.88851721  40.8208764 ],0.0
[-73.81930135  40.76460466],[-73.82302513  40.76366634],0.0
[-73.97258982  40.60667153],[-73.9736214   40.60655729],0.0
[-73.79461258  40.59710948],[-73.79475556  40.59846652],0.0
[-73.79461258  40.59710948],[-73.79475556  40.59846652],0.0
[-73.90741024  40.73860856],[-73.90747001  40.73687896],0.0
[-73.94232279  40.81223126],[-73.94500097  40.81334498],0.0
[-73.99219597  40.57580857],[-73.9917434   40.57343001],0.0
[-73.90556611  40.73733573],[-73.90928542  40.73633406],0.0
[-73.84294566  40.69519305],[-73.84371818  40.69674672],0.0
[-73.73857625  40.73038451],[-73.74137233  40.7314733 ],0.0
[-73.87481745  40.75485245],[-73.87480201  40.7547676 ],0.0
[-74.0004082  40.6582703],[-74.00097906  40.65770011],0.0
[-73.85744167  40.8258797 ],[-73.85621834  40.82616063],0.0
[-73.90633617  40.72383651],[-73.90756619  40.72392074],0.0
[-73.90633617  40.72383651],[-73.90756619  40.72392074],0.0
[-73.90959636  40.81177676],[-73.91023802  40.81192926],0.0
[-73.98793939  40.59837205],[-73.98719211  40.59792605],0.0
[-73.78233102  40.78855466],[-73.78356444  40.78888317],0.0
[-73.85367403  40.89395707],[-73.85406668  40.89324874],0.0
[-73.95630035  40.65504828],[-73.95969666  40.65483921],0.0
[-73.92764385  40.70409174],[-73.9260893  40.7056797],0.0
[-73.94798407  40.66703072],[-73.95075133  40.66718143],0.0
[-73.87456595  40.68495457],[-73.87495084  40.68650686],0.0
[-73.79714697  40.70741962],[-73.79825829  40.70701629],0.0
[-73.90553117  40.82910413],[-73.90629451  40.82817574],0.0
[-73.84517805  40.86969645],[-73.84523355  40.86748449],0.0
[-73.84517805  40.86969645],[-73.84523355  40.86748449],0.0
[-74.1168362   40.63267482],[-74.1141529   40.63299264],0.0
[-73.97618051  40.67806432],[-73.97368696  40.677078  ],0.0
[-73.95831     40.61910582],[-73.95840174  40.61958367],0.0
[-73.84744397  40.88697853],[-73.84704958  40.88767182],0.0
[-73.91181616  40.82203502],[-73.91157057  40.8225456 ],0.0
