node1,node2,123risksum
[-73.98123241  40.64204491],[-73.98204322  40.64170758],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.95545832  40.81448703],[-73.95349239  40.81365059],3.0
[-73.94659345  40.72515791],[-73.9453567   40.72296577],0.0
[-73.896478    40.63510583],[-73.89576043  40.6355613 ],1.0
[-73.79492458  40.77834565],[-73.79374958  40.77864985],0.0
[-73.89131226  40.86413224],[-73.89016164  40.86347636],0.0
[-74.01054909  40.67320451],[-74.00862802  40.67266439],0.0
[-73.94051531  40.82475669],[-73.94097178  40.82413236],2.0
[-73.91587712  40.80368866],[-73.91888727  40.80462603],0.0
[-73.95659705  40.81576746],[-73.95500087  40.81511231],0.0
[-74.17000129  40.55172607],[-74.17241192  40.55140947],0.0
[-73.88257371  40.66222909],[-73.8834838   40.66344904],2.0
[-73.78358614  40.68524284],[-73.78301555  40.68427745],0.0
[-73.75125802  40.69168202],[-73.75210544  40.69144667],3.0
[-73.92563786  40.80937983],[-73.92473858  40.80898984],0.0
[-73.85326161  40.82791904],[-73.85020133  40.82833183],0.0
[-73.94655628  40.81154061],[-73.94859304  40.81241629],2.0
[-73.91983603  40.73746433],[-73.91946593  40.73931214],2.0
[-73.92330216  40.83731632],[-73.92323143  40.83815927],0.0
[-73.91185043  40.88725874],[-73.90895109  40.88919653],0.0
[-73.95401093  40.81136978],[-73.95259126  40.81076533],0.0
[-73.94773985  40.80959972],[-73.94506103  40.8084745 ],3.0
[-73.94563352  40.79025311],[-73.9451683   40.79089401],2.0
[-73.92541348  40.67027885],[-73.92246697  40.67011693],2.0
[-73.94335489  40.65582834],[-73.94715896  40.65559379],3.0
[-73.93508325  40.85143423],[-73.93542572  40.85077433],0.0
[-74.08000095  40.61855295],[-74.08110333  40.61778875],0.0
[-73.90840635  40.87570689],[-73.90978846  40.87467223],1.0
[-73.91632954  40.77828166],[-73.91730779  40.77747978],2.0
[-73.9657977   40.76858764],[-73.96533896  40.76921226],2.0
[-73.87000174  40.82269782],[-73.87033501  40.82405907],2.0
[-73.97176105  40.59865193],[-73.97302108  40.59851879],3.0
[-73.9881771   40.74828882],[-73.98549602  40.74715233],3.0
