node1,node2,123risksum
[-74.13766956  40.63226274],[-74.13942705  40.63302885],2.0
[-73.94925583  40.83169551],[-73.94971384  40.83269647],3.0
[-73.8808506   40.87994884],[-73.8799336   40.87977245],2.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],3.0
[-73.84744397  40.88697853],[-73.84704958  40.88767182],3.0
[-73.94819007  40.59296758],[-73.94911584  40.59286751],2.0
[-73.96645825  40.8082012 ],[-73.96448233  40.80737615],3.0
[-73.91400199  40.69173761],[-73.91545028  40.69026392],2.0
[-73.87884558  40.83126526],[-73.87936805  40.83348339],1.0
[-73.96355685  40.64160992],[-73.96408758  40.64440642],3.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-73.76440183  40.59457168],[-73.7636298   40.59466695],3.0
[-73.86788007  40.66699684],[-73.86607438  40.66725643],2.0
[-73.97984056  40.68734433],[-73.97959038  40.6870039 ],1.0
[-73.84608     40.89924822],[-73.84671668  40.90083679],3.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],3.0
[-73.85469383  40.83888202],[-73.85445739  40.83756999],4.0
[-73.82795308  40.70228996],[-73.8272522   40.70067722],2.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],3.0
[-73.98091828  40.58936975],[-73.98188103  40.58925963],1.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],5.0
[-73.98528585  40.7236491 ],[-73.98484398  40.72425496],3.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],5.0
[-73.89176213  40.64376475],[-73.88994538  40.64213007],3.0
[-74.13450679  40.63218619],[-74.13404301  40.63279456],3.0
[-73.92142175  40.77096253],[-73.92284234  40.77134719],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],3.0
[-73.92232202  40.60984897],[-73.92254697  40.60970801],3.0
[-73.97874631  40.73452107],[-73.9793667   40.73478358],2.0
[-73.96161015  40.68237514],[-73.96142366  40.6814347 ],2.0
[-73.91584871  40.76963357],[-73.91487376  40.76947042],3.0
[-73.82150429  40.86834967],[-73.8263044  40.8611948],3.0
[-73.87092539  40.67132686],[-73.86998516  40.67147418],3.0
[-73.91185043  40.88725874],[-73.90895109  40.88919653],3.0
[-73.96206393  40.76373428],[-73.9596944   40.76273957],3.0
[-73.86351971  40.86550798],[-73.86344496  40.86782165],3.0
[-73.93011799  40.8587447 ],[-73.92797711  40.85954545],3.0
[-73.98217541  40.69117377],[-73.9815742   40.68993518],2.0
[-73.76400252  40.77232501],[-73.75850831  40.76439436],3.0
[-73.9597188   40.81552633],[-73.96069005  40.81418734],3.0
[-73.9474668   40.64903958],[-73.94647882  40.64910075],3.0
[-73.9906222   40.75099175],[-73.99013379  40.75165881],2.0
[-74.0013799   40.64335675],[-74.0035806   40.64468861],1.0
[-73.94006569  40.78962535],[-73.94055964  40.78894946],4.0
[-73.96046281  40.63015566],[-73.96024903  40.62937062],3.0
[-73.96003673  40.60803021],[-73.9595761   40.60559993],2.0
[-73.90096123  40.84770085],[-73.90141303  40.84686319],1.0
[-73.78272813  40.7667052 ],[-73.78339006  40.76798708],3.0
[-73.85642862  40.81414334],[-73.85678336  40.81566198],3.0
[-73.85642862  40.81414334],[-73.85678336  40.81566198],3.0
[-74.0138139   40.64174525],[-74.01323203  40.64230518],3.0
[-73.95476763  40.63962445],[-73.95597076  40.63906747],3.0
[-73.94974483  40.80205065],[-73.95242689  40.80317532],1.0
[-73.94104052  40.71266585],[-73.94068803  40.71196205],1.0
[-73.82322805  40.58593403],[-73.8216475   40.58642043],1.0
[-73.94402172  40.62708898],[-73.94446784  40.62948005],2.0
