node1,node2,123risksum
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.88348892  40.76810723],[-73.8761273   40.77142079],0.0
[-74.01146084  40.73302841],[-74.0038256   40.76013314],0.0
[-73.93111938  40.66879854],[-73.93388774  40.66895045],0.0
[-73.93051147  40.69431652],[-73.92970192  40.6938634 ],0.0
[-73.84247993  40.89726714],[-73.8434571   40.89982407],0.0
[-73.9525561   40.80152925],[-73.9533591   40.80186265],0.0
[-73.88429416  40.79284754],[-73.88448906  40.79114247],0.0
[-73.81662757  40.7902557 ],[-73.81682368  40.79102554],0.0
[-73.81682368  40.79102554],[-73.81822447  40.79070956],0.0
[-73.96387088  40.75700808],[-73.9616223  40.7560589],0.0
[-73.79119009  40.77337783],[-73.79075025  40.77252113],0.0
[-73.77634073  40.6798974 ],[-73.77547502  40.68018158],0.0
[-73.88986133  40.83612811],[-73.89082368  40.8358095 ],0.0
[-73.89224631  40.73899022],[-73.8907792   40.73895735],0.0
[-73.91791616  40.87092293],[-73.9170086   40.87158467],0.0
[-73.9871527   40.75039244],[-73.98407636  40.74910212],0.0
[-73.97534264  40.74127468],[-73.97317621  40.74035993],0.0
[-73.83845457  40.67981103],[-73.83882981  40.67986177],0.0
[-73.9206165   40.68591394],[-73.91784937  40.68623317],0.0
[-73.87169813  40.66659223],[-73.87051489  40.66503516],0.0
[-73.89379709  40.7476915 ],[-73.89358819  40.74662046],0.0
[-73.75329633  40.65922985],[-73.75260005  40.66032478],0.0
[-73.97754285  40.75206356],[-73.97767661  40.75211894],0.0
[-73.88594852  40.66386096],[-73.88511752  40.66274564],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-74.15795481  40.62878789],[-74.15798585  40.62949508],0.0
[-73.76095547  40.70290958],[-73.76126359  40.70359894],0.0
[-73.75197249  40.66839036],[-73.75081114  40.66797586],0.0
[-73.80774201  40.70058169],[-73.8078809   40.70118807],0.0
[-73.98942914  40.72618746],[-73.98898482  40.72677888],0.0
[-73.90513002  40.81327094],[-73.90474967  40.81432798],0.0
[-74.08382413  40.62325269],[-74.08524992  40.62280087],0.0
[-73.83528643  40.76138605],[-73.83542618  40.76210422],0.0
[-73.90018333  40.83419156],[-73.90120175  40.83445195],0.0
[-73.84608     40.89924822],[-73.84671668  40.90083679],0.0
[-73.7726      40.59708512],[-73.77232716  40.59582288],0.0
[-73.99551034  40.63980967],[-73.99478997  40.63937176],0.0
[-73.9398754   40.83956633],[-73.93968717  40.84025486],0.0
[-74.00649163  40.67719352],[-74.00678897  40.67654493],0.0
[-73.93086762  40.67147387],[-73.92809776  40.67132185],0.0
[-74.07825631  40.62198043],[-74.08189136  40.62082822],0.0
[-73.87680041  40.67338539],[-73.8758798   40.67351693],0.0
[-73.88892542  40.66368777],[-73.88756864  40.66168908],0.0
[-73.84747634  40.68138474],[-73.84686754  40.68013086],0.0
[-73.84589208  40.68018638],[-73.84686754  40.68013086],0.0
[-74.01236365  40.63624214],[-74.01016057  40.63491234],0.0
[-73.93982496  40.7012088 ],[-73.94042058  40.7010766 ],0.0
[-73.92396809  40.82737929],[-73.92241311  40.83005254],0.0
[-73.91539503  40.77229001],[-73.91678579  40.77115447],0.0
[-73.89057363  40.83690105],[-73.88841187  40.83855339],0.0
[-74.19607038  40.54472961],[-74.19669933  40.54594902],0.0
[-73.9426882  40.6613205],[-73.94548735  40.66114838],0.0
[-73.98955884  40.67994568],[-73.9885051   40.67953716],0.0
[-73.74562017  40.66775511],[-73.74458412  40.66941769],0.0
[-73.93357645  40.80275218],[-73.93581613  40.8036999 ],0.0
[-74.14369573  40.55242985],[-74.14306921  40.55142334],0.0
[-73.90116293  40.85518353],[-73.90165608  40.85454962],0.0
[-73.91850337  40.70385763],[-73.9173501   40.70499148],0.0
[-73.79457786  40.68610648],[-73.79373442  40.68435847],0.0
[-73.89525206  40.75261587],[-73.89489907  40.75071729],0.0
[-73.80528604  40.69962744],[-73.80353446  40.70027912],0.0
[-73.87237256  40.74885155],[-73.87277357  40.74881296],0.0
[-73.93956109  40.59851111],[-73.93996699  40.60063945],0.0
[-73.92946042  40.66602181],[-73.93138144  40.6661258 ],0.0
[-73.88304165  40.68497257],[-73.88220333  40.68536029],0.0
[-73.9068872   40.87697564],[-73.90666385  40.87677046],0.0
[-73.96666505  40.64802888],[-73.96640253  40.64664989],0.0
[-73.87917067  40.82858218],[-73.87976849  40.83113918],0.0
[-73.98704017  40.71715657],[-73.98670194  40.71781097],0.0
[-73.87767285  40.66432321],[-73.87858586  40.66555462],0.0
[-73.90778465  40.63621947],[-73.90595037  40.63457523],0.0
[-73.88346345  40.88078293],[-73.88383056  40.88046627],0.0
[-74.24969509  40.50600319],[-74.25057472  40.50588379],0.0
[-74.0650771   40.60120439],[-74.06463741  40.60018247],0.0
[-73.89800283  40.67961964],[-73.89869586  40.67954785],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-74.0410675   40.60782834],[-74.02584546  40.67562386],0.0
[-73.93741853  40.80437468],[-73.93889373  40.80499538],0.0
[-73.80905663  40.71996803],[-73.80934252  40.72095724],0.0
[-73.99983787  40.65518616],[-74.00203314  40.65651299],0.0
[-73.93741853  40.80437468],[-73.93581613  40.8036999 ],0.0
[-73.94010646  40.793817  ],[-73.93773612  40.7928158 ],0.0
[-73.94332294  40.70807019],[-73.9434401   40.70878089],0.0
[-73.98408213  40.73754552],[-73.981841    40.73660268],0.0
[-73.88535461  40.85430289],[-73.88638431  40.85224327],0.0
[-73.98510383  40.75940435],[-73.98747525  40.76040479],0.0
[-73.90439057  40.86590452],[-73.90235805  40.86869612],0.0
[-73.90778465  40.63621947],[-73.90595037  40.63457523],0.0
[-73.89971036  40.7410475 ],[-73.90248454  40.74131682],0.0
[-73.82713925  40.76165204],[-73.82751597  40.76242109],0.0
[-73.98134543  40.72063409],[-73.98193054  40.71945865],0.0
[-73.84614218  40.69685859],[-73.84448722  40.69727257],0.0
[-73.97954417  40.76619741],[-73.97670324  40.76499545],0.0
[-73.90586722  40.84257999],[-73.90596062  40.8426287 ],0.0
[-73.99075397  40.73483915],[-73.99171499  40.7352153 ],0.0
[-73.79289165  40.69378957],[-73.79405393  40.69537993],0.0
[-73.86728057  40.68774928],[-73.86745694  40.68840044],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.93834307  40.83790887],[-73.9388399   40.83722976],0.0
