node1,node2,123risksum
[-73.97054933  40.69160186],[-73.97013154  40.68950631],3.0
[-73.89190301  40.86960471],[-73.89113948  40.87025255],2.0
[-73.91396129  40.64860066],[-73.91554773  40.65002164],3.0
[-73.92526526  40.83477378],[-73.92429724  40.83601977],2.0
[-73.91017483  40.85198255],[-73.90850022  40.853817  ],2.0
[-73.98803984  40.63894682],[-73.99024414  40.64027521],3.0
[-73.87941109  40.6685215 ],[-73.87979296  40.67006094],2.0
[-73.83153589  40.75836401],[-73.8298416   40.75896228],2.0
[-73.99897587  40.57734015],[-73.99855647  40.57510056],2.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],2.0
[-74.0043013   40.68170753],[-74.00397813  40.68237702],2.0
[-73.98989983  40.72955277],[-73.98767162  40.7285951 ],3.0
[-73.98193054  40.71945865],[-73.9828036  40.719723 ],2.0
[-73.97659269  40.68718454],[-73.97620586  40.6870254 ],3.0
[-73.97845582  40.6379325 ],[-73.97890551  40.64033512],2.0
[-74.07846694  40.59330001],[-74.07936282  40.59299407],2.0
[-73.91477701  40.88459532],[-73.91604934  40.88255507],2.0
[-73.82661159  40.88464924],[-73.82579795  40.88399795],3.0
[-73.81642463  40.689243  ],[-73.81706536  40.68899358],2.0
[-73.84562647  40.75462569],[-73.84324381  40.7553368 ],4.0
[-73.96796055  40.68372681],[-73.96688962  40.68348273],5.0
[-73.95691803  40.81554509],[-73.95782822  40.81515605],2.0
[-73.96796055  40.68372681],[-73.96688962  40.68348273],5.0
[-74.07802261  40.59425482],[-74.07683591  40.59236716],2.0
[-73.88980438  40.87240147],[-73.88882148  40.87160447],5.0
[-73.80020147  40.70334129],[-73.79991982  40.70247355],1.0
[-73.95829178  40.66977893],[-73.95936558  40.67000384],3.0
[-73.87863273  40.87305901],[-73.87806355  40.87245068],3.0
[-73.78710062  40.68723141],[-73.78528049  40.68612199],3.0
[-73.88564076  40.72202155],[-73.88705696  40.72380232],2.0
[-73.99217242  40.71177608],[-73.99197675  40.71091127],5.0
[-73.97812378  40.74572717],[-73.97860713  40.74505783],2.0
[-73.83279304  40.68167298],[-73.83174577  40.67953729],2.0
[-73.98738719  40.73587893],[-73.9857944   40.73519968],2.0
[-74.0198361  40.6462925],[-74.0176795   40.64499089],2.0
[-73.83104573  40.57955513],[-73.83202511  40.58123662],2.0
[-73.74392856  40.66534202],[-73.74430003  40.66472255],3.0
[-73.85431652  40.74208931],[-73.85381299  40.74110382],2.0
[-73.78342824  40.69470218],[-73.78393324  40.69549416],2.0
[-73.83395873  40.75718344],[-73.8340737  40.7575568],2.0
[-73.99416078  40.74102882],[-73.99094522  40.73967338],3.0
[-73.94840569  40.80900574],[-73.95116549  40.81017289],1.0
[-73.93400885  40.69910936],[-73.93476155  40.69870009],4.0
[-73.82021247  40.82435232],[-73.81931445  40.82480113],3.0
[-73.86729669  40.84291949],[-73.86889259  40.84440966],2.0
[-74.00027518  40.7428388 ],[-74.00311638  40.74403449],3.0
[-73.71811686  40.76038952],[-73.72032487  40.75963192],2.0
[-73.77567626  40.69730503],[-73.77663142  40.69861962],3.0
[-73.99733206  40.66097713],[-73.9951689   40.65966952],1.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],1.0
[-73.93721917  40.82922595],[-73.93626707  40.83051111],1.0
[-73.82813936  40.70796296],[-73.82712448  40.70807984],3.0
[-73.88960474  40.80800919],[-73.89003636  40.80962915],2.0
[-73.88793504  40.87203023],[-73.8886845   40.87149511],3.0
[-74.12398006  40.63274679],[-74.12414715  40.63399341],2.0
[-73.90092298  40.85286273],[-73.90025835  40.85429342],2.0
[-73.91584871  40.76963357],[-73.91487376  40.76947042],0.0
[-73.89285974  40.81627425],[-73.89203087  40.81710793],0.0
[-73.97513406  40.75848715],[-73.97559124  40.75785966],0.0
[-73.8419206   40.89328577],[-73.84288054  40.89580778],0.0
[-73.92264228  40.82696574],[-73.92270839  40.82685334],2.0
[-73.96466409  40.79678676],[-73.96517164  40.79608634],2.0
[-73.87925207  40.76361972],[-73.87827689  40.76345177],3.0
[-73.84613221  40.82442543],[-73.84417663  40.82467097],2.0
