node1,node2,123risksum
[-73.92905728  40.67927643],[-73.92942274  40.67929106],0.0
[-73.91938769  40.82107209],[-73.91910744  40.82172201],0.0
[-73.95682162  40.80503273],[-73.95536846  40.80441987],0.0
[-73.78700797  40.59255578],[-73.78724334  40.59482412],0.0
[-74.13408698  40.62954168],[-74.13234839  40.63098546],0.0
[-73.95918424  40.598526  ],[-73.9587804   40.59640732],0.0
[-73.85454351  40.87260435],[-73.85456902  40.87120956],0.0
[-73.99865587  40.59726856],[-73.99937596  40.59781083],0.0
[-73.91147021  40.88962922],[-73.91113709  40.89081699],0.0
[-74.0410675   40.60782834],[-74.02584546  40.67562386],0.0
[-73.91809187  40.70542925],[-73.91923038  40.70431132],0.0
[-73.926131    40.62142062],[-73.92713509  40.62135782],0.0
[-73.93968265  40.74898355],[-73.93900626  40.74982034],0.0
[-73.9496933  40.823604 ],[-73.95175396  40.82447026],0.0
[-73.91579117  40.76426777],[-73.91658974  40.76464398],0.0
[-73.92843149  40.69520464],[-73.92970192  40.6938634 ],0.0
[-73.75671775  40.60212928],[-73.75770428  40.6021974 ],0.0
[-73.92649134  40.67837722],[-73.9265987   40.67726934],0.0
[-73.87518102  40.67072439],[-73.87610627  40.67059163],0.0
[-73.80921928  40.77747586],[-73.80934092  40.77676629],0.0
[-73.94627913  40.79224538],[-73.94578426  40.79292145],0.0
[-73.94212011  40.7979438 ],[-73.94337768  40.79621787],0.0
[-73.94486589  40.79417863],[-73.94532415  40.79355245],0.0
[-73.95663009  40.72084596],[-73.9560378   40.72139774],0.0
[-73.9794423   40.64279622],[-73.97988071  40.64510891],0.0
[-73.9794423   40.64279622],[-73.97988071  40.64510891],0.0
[-74.09286333  40.64547529],[-74.08969223  40.64629677],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.72958792  40.71170047],[-73.72937892  40.7116277 ],0.0
[-73.91384401  40.83369346],[-73.91289916  40.83529735],0.0
[-73.99901222  40.70856003],[-73.99801933  40.70892117],0.0
[-73.94512944  40.66777139],[-73.94789836  40.66792147],0.0
[-73.96569035  40.70425937],[-73.96505896  40.70368846],0.0
[-73.93707477  40.66464422],[-73.93984439  40.66479409],0.0
[-73.82337983  40.87989287],[-73.82450162  40.87562795],0.0
[-73.9737409   40.65038443],[-73.97458716  40.65004641],0.0
[-73.90955039  40.69627147],[-73.90879899  40.69584486],0.0
[-73.87645543  40.75865947],[-73.87673799  40.76021039],0.0
[-73.87033535  40.72614696],[-73.86982652  40.72508086],0.0
[-73.89181444  40.86742379],[-73.89127816  40.86801587],0.0
[-73.86980237  40.75375138],[-73.86907771  40.75202973],0.0
[-74.07568162  40.62491805],[-74.07533163  40.62424617],0.0
[-73.90351391  40.86091751],[-73.90229298  40.8627176 ],0.0
[-73.89430054  40.67343978],[-73.89395536  40.67217641],0.0
[-73.88986133  40.83612811],[-73.89082368  40.8358095 ],0.0
[-73.79996986  40.70638028],[-73.801077    40.70820173],0.0
[-74.15967579  40.53591886],[-74.16103898  40.53741657],0.0
[-73.868042    40.84481384],[-73.86892653  40.84688174],0.0
[-73.97410913  40.67645194],[-73.97459637  40.67573132],0.0
[-73.94760616  40.74735887],[-73.94735515  40.7481074 ],0.0
[-73.92004557  40.8079068 ],[-73.91922469  40.80755838],0.0
[-73.94808517  40.79553642],[-73.9485555   40.79491018],0.0
[-73.87487478  40.82652844],[-73.87550702  40.82923413],0.0
[-73.91977851  40.6632905 ],[-73.9196267   40.66255605],0.0
[-73.91977851  40.6632905 ],[-73.9196267   40.66255605],0.0
[-73.85335046  40.74679507],[-73.85317295  40.74684996],0.0
[-73.93858383  40.79989185],[-73.93636118  40.79893545],0.0
[-73.99961512  40.57498421],[-73.99915261  40.57281231],0.0
[-73.97885851  40.72408181],[-73.97841276  40.72469706],0.0
[-73.89944916  40.83321818],[-73.90073325  40.83129947],0.0
[-73.880405    40.84139771],[-73.87937679  40.84095248],0.0
[-73.93541365  40.7449612 ],[-73.93358833  40.7447335 ],0.0
[-73.87874858  40.68556011],[-73.8774825   40.68587606],0.0
[-73.87874858  40.68556011],[-73.8774825   40.68587606],0.0
[-73.9866148   40.61235316],[-73.98438245  40.61100542],0.0
[-73.91067475  40.75299508],[-73.91256954  40.75330421],0.0
[-73.93828508  40.79630148],[-73.93591227  40.79531184],0.0
[-73.73462841  40.72594091],[-73.73489257  40.72662613],0.0
[-73.93364741  40.7943765 ],[-73.93591227  40.79531184],0.0
[-73.90340639  40.6334321 ],[-73.90496806  40.63483849],0.0
[-73.88777398  40.82522655],[-73.88761046  40.82328391],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.88889566  40.86475415],[-73.88809963  40.86547383],0.0
[-73.85803103  40.83978312],[-73.85792053  40.8396721 ],0.0
[-73.87513874  40.75663382],[-73.87606788  40.75653623],0.0
[-74.01692676  40.6490941 ],[-74.01634261  40.64965573],0.0
[-73.92826116  40.66958767],[-73.93103322  40.66973779],0.0
[-73.73880368  40.74991332],[-73.73830469  40.74924683],0.0
[-73.78784678  40.71181083],[-73.78843481  40.71198469],0.0
[-73.8710293  40.7325513],[-73.87404482  40.73117007],0.0
[-73.93970119  40.80703488],[-73.94131742  40.80771335],0.0
[-74.00649163  40.67719352],[-74.00678897  40.67654493],0.0
[-73.81090054  40.73030321],[-73.81111797  40.72781642],0.0
[-73.91784811  40.83715589],[-73.9160647  40.8364675],0.0
[-73.92747922  40.82111133],[-73.92694601  40.82038245],0.0
[-73.98223034  40.66214149],[-73.981728    40.66274337],0.0
[-73.94279527  40.73265463],[-73.94281341  40.73276996],0.0
[-73.91415552  40.84996747],[-73.91493916  40.84879569],0.0
[-73.91205403  40.82366052],[-73.91384     40.82418799],0.0
[-73.93886864  40.70142767],[-73.93951008  40.70127978],0.0
[-73.90368743  40.7449144 ],[-73.90325497  40.74479688],0.0
[-74.00198508  40.75578125],[-74.00355324  40.75644519],0.0
[-73.91552052  40.83702462],[-73.9173826   40.83774508],0.0
