node1,node2,123risksum
[-73.82910474  40.68272173],[-73.8280517   40.68058759],1.0
[-73.78679005  40.76481707],[-73.78776263  40.7666906 ],5.0
[-74.02475043  40.62432075],[-74.02444889  40.62504845],1.0
[-73.90842422  40.8826186 ],[-73.9074724   40.88443502],3.0
[-73.90351391  40.86091751],[-73.90229298  40.8627176 ],3.0
[-73.75643771  40.75314672],[-73.7540366  40.753867 ],3.0
[-74.0410675   40.60782834],[-74.02584546  40.67562386],2.0
[-73.93508325  40.85143423],[-73.93542572  40.85077433],2.0
[-73.98098333  40.69355662],[-73.98011299  40.69352388],2.0
[-73.95230036  40.59251402],[-73.95269927  40.59463779],3.0
[-73.92914208  40.78756362],[-73.9275979   40.78962078],3.0
[-74.00198508  40.75578125],[-74.00355324  40.75644519],5.0
[-74.19609298  40.54049774],[-74.19840401  40.53985627],2.0
[-73.88905985  40.86792901],[-73.88980523  40.86836793],3.0
[-73.73412962  40.705413  ],[-73.73217428  40.7053522 ],2.0
[-73.9415362   40.82682025],[-73.93979368  40.8299227 ],3.0
[-73.81081685  40.76602696],[-73.81178641  40.76610359],2.0
[-73.74019306  40.65525704],[-73.73883857  40.65520879],2.0
[-73.93960207  40.82600259],[-73.93935057  40.82589749],2.0
[-73.92649134  40.67837722],[-73.92466142  40.67827601],1.0
[-73.95268436  40.72709853],[-73.95327302  40.72813317],1.0
[-73.95399202  40.71735672],[-73.95268738  40.71657421],1.0
[-73.97016463  40.68459108],[-73.97123922  40.68502749],2.0
[-73.76984922  40.76860175],[-73.77075886  40.76844963],0.0
[-73.98639931  40.75169999],[-73.98317416  40.75034221],0.0
[-73.93833411  40.67278197],[-73.93708255  40.6727275 ],0.0
[-73.80274225  40.78325367],[-73.80449222  40.78339127],0.0
[-73.89644053  40.85490776],[-73.89709927  40.85517229],4.0
[-73.94121736  40.71470681],[-73.93890525  40.71533542],3.0
[-73.99426259  40.74600398],[-73.99709903  40.7472051 ],3.0
[-73.87000174  40.82269782],[-73.87033501  40.82405907],2.0
[-73.98573842  40.72697456],[-73.98811903  40.72797675],7.0
[-73.98247748  40.71829051],[-73.98193054  40.71945865],3.0
[-73.78052453  40.77986782],[-73.78161707  40.78205798],3.0
[-73.91856422  40.87147883],[-73.91945895  40.87224928],2.0
[-73.92121314  40.86769278],[-73.92310988  40.86701558],3.0
[-73.7684119   40.60936039],[-73.76748391  40.61025542],2.0
[-73.86666851  40.67354387],[-73.8657544  40.6736781],1.0
[-73.90699966  40.70930577],[-73.90625674  40.70886663],2.0
[-73.93942821  40.78847411],[-73.94055964  40.78894946],1.0
[-73.74408096  40.69452603],[-73.74289938  40.69416349],1.0
[-73.89404236  40.66475209],[-73.89443918  40.66629669],2.0
[-73.92747922  40.82111133],[-73.92809349  40.82194611],3.0
[-73.76956807  40.77518143],[-73.76792319  40.77556383],3.0
[-73.95246901  40.65066945],[-73.95137846  40.65071574],2.0
[-73.95034046  40.82890148],[-73.95005898  40.82959198],3.0
[-73.9514967   40.61538831],[-73.95260549  40.61624093],3.0
[-73.8181105   40.73905644],[-73.8183799   40.73859374],2.0
[-73.90659899  40.69212023],[-73.90504295  40.69370401],2.0
[-74.00053196  40.71843024],[-74.00127273  40.71896143],8.0
[-74.01849304  40.64087581],[-74.02022934  40.6419321 ],2.0
[-73.77029595  40.67271856],[-73.77118303  40.67258   ],2.0
[-73.97136622  40.62892916],[-73.97156803  40.62998802],2.0
[-73.90302754  40.65864067],[-73.90274548  40.65753742],2.0
[-73.82281955  40.76702353],[-73.82395033  40.7668872 ],3.0
[-73.94326177  40.68005061],[-73.94120864  40.67993835],3.0
[-73.99700719  40.74222816],[-73.99984824  40.74342502],2.0
[-73.99626816  40.72195195],[-73.9971227   40.72230076],5.0
[-73.98289842  40.69983292],[-73.98046217  40.69970316],3.0
[-73.94014131  40.83037199],[-73.93721917  40.82922595],2.0
[-73.88945277  40.86309156],[-73.88812279  40.86425457],2.0
[-73.80742531  40.79087328],[-73.81008033  40.79072379],3.0
[-73.85619318  40.89918797],[-73.85487741  40.90085163],2.0
[-73.9258757   40.61901281],[-73.92494401  40.61907127],2.0
[-73.85363639  40.8733006 ],[-73.85278034  40.87395323],2.0
[-73.77134167  40.71179881],[-73.77053806  40.7121103 ],3.0
[-73.73485804  40.69941895],[-73.73574252  40.69968815],3.0
[-73.9258757   40.61901281],[-73.92687895  40.61894982],2.0
[-73.98670349  40.75846803],[-73.98553727  40.75797328],2.0
[-73.78655337  40.59207238],[-73.78894435  40.59213129],2.0
[-73.98364598  40.73269871],[-73.98207443  40.73203031],2.0
[-73.99265431  40.73733047],[-73.99222485  40.73791698],3.0
[-73.94505128  40.8025986 ],[-73.94459915  40.80322505],6.0
[-74.01282731  40.62545573],[-74.0106241   40.62412551],3.0
[-73.95666936  40.74248687],[-73.95862969  40.74286478],3.0
[-73.79302551  40.76462119],[-73.79207184  40.76454557],3.0
[-73.95126462  40.78853735],[-73.95274232  40.78916861],2.0
[-73.90102929  40.65830169],[-73.90188724  40.6579202 ],3.0
[-73.93423013  40.70330437],[-73.93395093  40.70267459],3.0
[-73.83170316  40.86887286],[-73.83163229  40.86873522],1.0
[-73.94760087  40.73999951],[-73.94530443  40.73955299],2.0
[-73.92119368  40.83815532],[-73.9197838   40.84087618],4.0
[-73.77631757  40.59362284],[-73.77641177  40.59432093],2.0
[-73.91851421  40.64810581],[-73.92046701  40.64965418],2.0
[-73.78454463  40.59507661],[-73.78429108  40.59244607],2.0
[-74.11745987  40.6357694 ],[-74.11754902  40.63695363],2.0
[-73.82053845  40.6704833 ],[-73.81949241  40.67179818],3.0
[-73.8288369   40.67769237],[-73.82759498  40.67750084],0.0
[-73.85343376  40.89811538],[-73.85429883  40.89844965],0.0
[-73.94798407  40.66703072],[-73.94521418  40.66687975],0.0
[-73.95441604  40.80572518],[-73.95487451  40.80509688],0.0
